section,line_item,amount,fund,fiscal_year
balance,Subtotal Revenues,931376810.0,General Fund,2014
balance,Transfers from other funds,30224249.0,General Fund,2014
balance,TOTAL REVENUES,961601059.0,General Fund,2014
balance,TOTAL AVAILABLE FUNDS,996656848.0,General Fund,2014
appropriation,Administrative & Operational Excellence,62609242.0,General Fund,2014
appropriation,"Convention, Tourism & Culture",7957730.0,General Fund,2014
appropriation,Economic Development & Development Svcs,10688283.0,General Fund,2014
appropriation,Environmental 0,2011423.0,General Fund,2014
appropriation,Health & Human Services,83527739.0,General Fund,2014
appropriation,Neighborhood Services,44299050.0,General Fund,2014
appropriation,Parks & Recreation,43751471.0,General Fund,2014
appropriation,Public Safety,657222738.0,General Fund,2014
appropriation,Streets & Infrastructure,68747201.0,General Fund,2014
appropriation,Subtotal Appropriations,978803454.0,General Fund,2014
appropriation,Transfers to other funds,9453618.0,General Fund,2014
appropriation,TOTAL APPROPRIATIONS,988257072.0,General Fund,2014
appropriation,Financial Reserves (Incremental Amount),834650.0,General Fund,2014
appropriation,Reserve for Two-Year Budget Plan,7565127.0,General Fund,2014
appropriation,GROSS ENDING FUND BALANCE* $ 0,81838897.0,General Fund,2014
balance,BEGINNING BALANCE,216321090.0,Total All Funds,2014
revenue,Property Tax,406154972.0,Total All Funds,2014
revenue,Delinquent Property Tax,7724033.0,Total All Funds,2014
revenue,Sales Tax,307194038.0,Total All Funds,2014
revenue,Other Tax,113480167.0,Total All Funds,2014
revenue,Licenses and Permits,7545673.0,Total All Funds,2014
revenue,CPS Energy,292161885.0,Total All Funds,2014
revenue,San Antonio Water System,11914324.0,Total All Funds,2014
revenue,Charges for Services,373882987.0,Total All Funds,2014
revenue,Fines & Forfeits,16893305.0,Total All Funds,2014
revenue,Miscellaneous,16954892.0,Total All Funds,2014
revenue,Grants,139370892.0,Total All Funds,2014
revenue,Subtotal Revenues,1704516214.0,Total All Funds,2014
revenue,Transfers from other funds,145973586.0,Total All Funds,2014
revenue,TOTAL REVENUES,1850489800.0,Total All Funds,2014
revenue,TOTAL AVAILABLE FUNDS,2066810890.0,Total All Funds,2014
appropriation,Administrative & Operational Excellence,64119340.0,Total All Funds,2014
appropriation,"Convention, Tourism & Culture",75040498.0,Total All Funds,2014
appropriation,Economic Development & Development Svcs,115163240.0,Total All Funds,2014
appropriation,Environmental,95950037.0,Total All Funds,2014
appropriation,Health & Human Services,211340936.0,Total All Funds,2014
appropriation,Neighborhood Services,44896799.0,Total All Funds,2014
appropriation,Parks & Recreation,52496020.0,Total All Funds,2014
appropriation,Public Safety,675568054.0,Total All Funds,2014
appropriation,Streets & Infrastructure,106181374.0,Total All Funds,2014
appropriation,Debt Service,239476173.0,Total All Funds,2014
appropriation,Subtotal Appropriations,1680232470.0,Total All Funds,2014
appropriation,Transfers to other funds,223905092.0,Total All Funds,2014
appropriation,TOTAL APPROPRIATIONS,1904137563.0,Total All Funds,2014
appropriation,GROSS ENDING FUND BALANCE,162673327.0,Total All Funds,2014
balance,BEGINNING BALANCE,63240982.0,General Fund,2015
revenue,Property Tax,268477764.0,General Fund,2015
revenue,Delinquent Property Tax,4842353.0,General Fund,2015
revenue,Sales Tax,253371067.0,General Fund,2015
revenue,Other Tax,37691057.0,General Fund,2015
revenue,Licenses and Permits,7986740.0,General Fund,2015
revenue,CPS Energy,315962248.0,General Fund,2015
revenue,San Antonio Water System,13373971.0,General Fund,2015
revenue,Charges for Services,63574564.0,General Fund,2015
revenue,Fines & Forfeits,13449057.0,General Fund,2015
revenue,Miscellaneous,10347312.0,General Fund,2015
revenue,Subtotal Revenues,997164546.0,General Fund,2015
revenue,Transfers from other funds,34735760.0,General Fund,2015
revenue,TOTAL REVENUES,1031900306.0,General Fund,2015
revenue,TOTAL AVAILABLE FUNDS,1095141288.0,General Fund,2015
appropriation,Administrative & Operational Excellence,69980311.0,General Fund,2015
appropriation,"Convention, Tourism & Culture",1913091.0,General Fund,2015
appropriation,Economic Development & Development Svcs,15937694.0,General Fund,2015
appropriation,Environmental 0,2798402.0,General Fund,2015
appropriation,Health & Human Services,85018417.0,General Fund,2015
appropriation,Neighborhood Services,49230183.0,General Fund,2015
appropriation,Parks & Recreation,44899789.0,General Fund,2015
appropriation,Public Safety,690737098.0,General Fund,2015
appropriation,Streets & Infrastructure,82582187.0,General Fund,2015
appropriation,Subtotal Appropriations,1040298770.0,General Fund,2015
appropriation,Transfers to other funds,8006345.0,General Fund,2015
appropriation,TOTAL APPROPRIATIONS,1048305115.0,General Fund,2015
appropriation,Financial Reserves (Incremental Amount),14190339.0,General Fund,2015
