fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
Special Revenue Funds,SPECIAL REVENUE FUNDS,Convention Facilities State Reimbursement,16638.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Economic Development Incentive Fund,2480721.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Edwards Aquifer Land Acquisition -,19272512.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Energy Efficiency Fund,1245718.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Golf,954808.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel Occupancy Tax,65842089.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Hotel/Motel 2%,18782994.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Inner City Incentive Fund,2090775.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Juvenile Case Manager Fund,1108258.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Security,514191.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Municipal Courts Technology,523917.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Environmental Fund,6944544.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,3249.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,451725.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Parks Development and Expansion -,15442688.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Prek4SA,40618127.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Public Education & Government,3014030.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Right of Way,2947072.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Starbright Industrial Development Corporation,1662902.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water,48220846.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water Regional Facilities,5198434.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tax Increment Financing,792704.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tree Canopy & Mitigation,1089616.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tricentennial 0,993577.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Visitor Information Center & City Store,757737.0,2017,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,TOTAL SPECIAL REVENUE FUNDS,363395393.0,2017,True
Enterprise Funds,ENTERPRISE FUNDS,Airport,93822734.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Customer Facility Charge,10636686.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Passenger Facility Charge,16808204.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Development Services,32699955.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Market Square,2812016.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Parking,10912846.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,Solid Waste Operating & Maintenance,104868139.0,2017,False
Enterprise Funds,ENTERPRISE FUNDS,TOTAL ENTERPRISE FUNDS,272560580.0,2017,True
Trust Funds,TRUST FUNDS,City Cemetery,237036.0,2017,False
Trust Funds,TRUST FUNDS,TOTAL TRUST FUNDS,237036.0,2017,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Capital Improvements Management Services,19172182.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Equipment Renewal & Replacement,44028307.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Facility Services,14727751.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Fleet Services,39674821.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Information Technology Services,57207309.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Purchasing & General Services,5778396.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Self Insurance,186246914.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,TOTAL INTERNAL SERVICE FUNDS,366835680.0,2017,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Grants,146540593.0,2017,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Debt Services,267126615.0,2017,False
